Name,Screen Size,Resolution,Refresh Rate,Response Time (G2G),Panel Type,Aspect Ratio,Rating,Price,image_url
LG UltraGear 34GS95QE-B (6),"Screen Size34.0""",Resolution3440 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeOLED,Aspect Ratio21:9,(6),€899.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/1af1eac3d949ce16d0ca68a651b699f6.256p.jpg
Asus ROG Strix XG27ACS (7),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(7),€379.08Add,https://m.media-amazon.com/images/I/31VTUjlhUVL.jpg
LG UltraGear 27GR83Q-B (7),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate240 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(7),Add,https://cdna.pcpartpicker.com/static/forever/images/product/a5ad5a8ee62daa7c25b6ecef0dc7720b.256p.jpg
MSI MAG 274QRFW (4),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(4),€199.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/8c040352fa6d29b076fd9a97eb290b64.256p.jpg
Acer Nitro XV1 XV271U M3bmiiprx (13),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(13),Add,https://cdna.pcpartpicker.com/static/forever/images/product/07db5d09eb6f95dc9da150698b5f0eb4.256p.jpg
KTC H24F8 (0),"Screen Size23.8""",Resolution1920 x 1080,Refresh Rate180 Hz,Response Time (G2G),Panel TypeIPS,Aspect Ratio16:9,(0),€94.99Add,https://m.media-amazon.com/images/I/51ZS6pikLRL.jpg
Asus ROG Swift OLED PG32UCDMR (0),"Screen Size31.5""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(0),€1076.26Add,https://cdna.pcpartpicker.com/static/forever/images/product/d9d038436602df342dcadee3fc0f56cd.256p.jpg
Acer Predator X39 (2),"Screen Size39.0""",Resolution3440 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.01 ms,Panel TypeOLED,Aspect Ratio21:9,(2),Add,https://m.media-amazon.com/images/I/41x21ZCgxlL.jpg
AOC 24G4XE (3),"Screen Size24.0""",Resolution1920 x 1080,Refresh Rate180 Hz,Response Time (G2G),Panel TypeIPS,Aspect Ratio16:9,(3),€108.98Add,https://cdna.pcpartpicker.com/static/forever/images/product/36f084159a32f721b87052dbb57ef47c.256p.jpg
AOC CU34G2XP/BK (4),"Screen Size34.0""",Resolution3440 x 1440,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeVA,Aspect Ratio21:9,(4),€313.89Add,https://cdna.pcpartpicker.com/static/forever/images/product/cccd4fa5a7d9cc206428edf9dba80cb9.256p.jpg
Asus TUF Gaming VG279QM (10),"Screen Size27.0""",Resolution1920 x 1080,Refresh Rate280 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(10),€179.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/07a61ae69ef1a71b2f3580da52ee2df1.256p.jpg
Dell Alienware AW3423DWF (30),"Screen Size34.2""",Resolution3440 x 1440,Refresh Rate165 Hz,Response Time (G2G)0.1 ms,Panel TypeQD-OLED,Aspect Ratio21:9,(30),Out of stock€668.17Add,https://m.media-amazon.com/images/I/21lOJITD43L.jpg
MSI MPG 322URX QD-OLED (1),"Screen Size32.0""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(1),€1099.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/3af79b53861f6a1ebe0eb674bab5de19.256p.jpg
Samsung Odyssey G50D (2),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(2),€214.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/481176455d457d5746facdc99e8c7463.256p.jpg
Acer Predator X27U Z1bmiiprx (0),"Screen Size26.5""",Resolution2560 x 1440,Refresh Rate280 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(0),Add,https://cdna.pcpartpicker.com/static/forever/images/product/d95c3f7c69233b8b8b031d33cd627d8c.256p.jpg
LG 38GL950G-B (1),"Screen Size37.5""",Resolution3840 x 1600,Refresh Rate175 Hz,Response Time (G2G),Panel TypeIPS,Aspect Ratio12:5,(1),Add,https://cdna.pcpartpicker.com/static/forever/images/product/6269480b00e4662c9e05391cc2f0ee83.256p.jpg
Dell Alienware AW2725DF (8),"Screen Size26.7""",Resolution2560 x 1440,Refresh Rate360 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(8),€584.84Add,https://cdna.pcpartpicker.com/static/forever/images/product/51c7aec6c240c607d87f61e8a16823ec.256p.jpg
MSI PRO MP275Q (1),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate100 Hz,Response Time (G2G)4 ms,Panel TypeIPS,Aspect Ratio16:9,(1),€139.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/b8cad4a180bfa514dd706a9ab7d3bdd4.256p.jpg
ASRock Challenger CL27FFA (0),"Screen Size27.0""",Resolution1920 x 1080,Refresh Rate120 Hz,Response Time (G2G),Panel TypeIPS,Aspect Ratio16:9,(0),€99.96Add,https://cdna.pcpartpicker.com/static/forever/images/product/fc796bf396e185a32c5e3f0cf7e38338.256p.jpg
Asus ROG Swift OLED PG32UCDP (5),"Screen Size31.5""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeWOLED,Aspect Ratio16:9,(5),€938.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/3a6d3d1410af3200b4d8c14b3f84ea3b.256p.jpg
MSI MAG 274CXF (0),"Screen Size27.0""",Resolution1920 x 1080,Refresh Rate280 Hz,Response Time (G2G)0.5 ms,Panel TypeVA,Aspect Ratio16:9,(0),€171.87Add,https://cdna.pcpartpicker.com/static/forever/images/product/f631c2b881b2e1acf1b42584ac054e6a.256p.jpg
Samsung Odyssey G50D (1),"Screen Size32.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(1),Add,https://cdna.pcpartpicker.com/static/forever/images/product/c903bbc5fda799d30df0bc02c5e8a618.256p.jpg
Asus TUF Gaming VG279Q3A (2),"Screen Size27.0""",Resolution1920 x 1080,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(2),€230.96Add,https://cdna.pcpartpicker.com/static/forever/images/product/e30edcc9a15d5725f4ff79fa0a587284.256p.jpg
AOC C27G2Z (8),"Screen Size27.0""",Resolution1920 x 1080,Refresh Rate240 Hz,Response Time (G2G),Panel TypeVA,Aspect Ratio16:9,(8),Add,https://cdna.pcpartpicker.com/static/forever/images/product/e01b4d44c0de80c58cefbcc78a1fe809.256p.jpg
LG UltraGear 32GS95UV-W (2),"Screen Size31.5""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeOLED,Aspect Ratio16:9,(2),Add,https://cdna.pcpartpicker.com/static/forever/images/product/3ac1606c74bb0d22b2f2235f5253be03.256p.jpg
Pixio PX248 Prime (10),"Screen Size24.0""",Resolution1920 x 1080,Refresh Rate144 Hz,Response Time (G2G),Panel TypeIPS,Aspect Ratio16:9,(10),Add,https://cdna.pcpartpicker.com/static/forever/images/product/db9371dabda028272b567565910b5f9e.256p.jpg
ASRock PG27QFT1B (0),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G),Panel TypeIPS,Aspect Ratio16:9,(0),€200.69Add,https://m.media-amazon.com/images/I/41gCAij89tL.jpg
MSI MPG 341CQPX QD-OLED (4),"Screen Size34.0""",Resolution3440 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio21:9,(4),Out of stock€906.35Add,https://m.media-amazon.com/images/I/512Ce6WdCkL.jpg
MSI PRO MP223 E2 (0),"Screen Size21.4""",Resolution1920 x 1080,Refresh Rate100 Hz,Response Time (G2G)4 ms,Panel TypeVA,Aspect Ratio16:9,(0),€69.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/060e222c360e17b4ecad950111331052.256p.jpg
Asus ROG Strix OLED XG32UCWMG (1),"Screen Size31.5""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeWOLED,Aspect Ratio16:9,(1),€999.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/833791086a788b542cc0a002360a0014.256p.jpg
Samsung Odyssey G5 (1),"Screen Size34.0""",Resolution3440 x 1440,Refresh Rate165 Hz,Response Time (G2G),Panel TypeVA,Aspect Ratio21:9,(1),€276.89Add,https://cdna.pcpartpicker.com/static/forever/images/product/9d7490710d4a827743be2fb490314836.256p.jpg
LG UltraGear 32GS95UE-B (3),"Screen Size31.5""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeOLED,Aspect Ratio16:9,(3),€1243.61Add,https://cdna.pcpartpicker.com/static/forever/images/product/861f6bf37aa331fca46eec4d8e5b6497.256p.jpg
Asus TUF Gaming VG249QL3A (1),"Screen Size23.8""",Resolution1920 x 1080,Refresh Rate180 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(1),€202.55Add,https://cdna.pcpartpicker.com/static/forever/images/product/987118243cc390873b62b6bc0805e407.256p.jpg
KOORUI G2421V (0),"Screen Size23.8""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G),Panel TypeIPS,Aspect Ratio16:9,(0),€159.99Add,https://m.media-amazon.com/images/I/51jkATb9McL.jpg
Dell Alienware AW2724HF (1),"Screen Size27.0""",Resolution1920 x 1080,Refresh Rate360 Hz,Response Time (G2G)0.5 ms,Panel TypeIPS,Aspect Ratio16:9,(1),Add,https://cdna.pcpartpicker.com/static/forever/images/product/401db2a8ad893f2529089d606da2bfc4.256p.jpg
LG UltraGear OLED 27GS93QE-B (1),"Screen Size26.5""",Resolution2560 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeOLED,Aspect Ratio16:9,(1),Add,https://cdna.pcpartpicker.com/static/forever/images/product/f1bb092e9434676c862710189f4a859c.256p.jpg
LG UltraGear 24G411A-B (0),"Screen Size24.0""",Resolution1920 x 1080,Refresh Rate144 Hz,Response Time (G2G)5 ms,Panel TypeIPS,Aspect Ratio16:9,(0),€92.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/cbfa4b8ffb622157bd8936a6a74e7ab5.256p.jpg
Asus ROG Swift OLED PG27AQDM (4),"Screen Size26.5""",Resolution2560 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeOLED,Aspect Ratio16:9,(4),€1145.96Add,https://cdna.pcpartpicker.com/static/forever/images/product/3f6af7d941a0719a7ddb54fb0d5b7919.256p.jpg
Asus XG27ACMEG-G Hatsune Miku Edition (1),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate260 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(1),€453.64Add,https://cdna.pcpartpicker.com/static/forever/images/product/13ac7c62e73d11d7f369a4bcafed0911.256p.jpg
Asus ProArt Display PA32DC (1),"Screen Size31.5""",Resolution3840 x 2160,Refresh Rate60 Hz,Response Time (G2G)0.1 ms,Panel TypeOLED,Aspect Ratio16:9,(1),€3200.00Add,https://m.media-amazon.com/images/I/51UumOf-BVL.jpg
Gigabyte GS27QA (0),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate180 Hz,Response Time (G2G),Panel TypeIPS,Aspect Ratio16:9,(0),€164.35Add,https://cdna.pcpartpicker.com/static/forever/images/product/26fc08ffb7a8f539bf93b0b10deb4c74.256p.jpg
Samsung Odyssey OLED G8 G81SF (2),"Screen Size27.0""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(2),€876.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/26973e3018adf070ab3e6f5531d56e6a.256p.jpg
MSI PRO MP251 E2 (0),"Screen Size24.5""",Resolution1920 x 1080,Refresh Rate120 Hz,Response Time (G2G)4 ms,Panel TypeIPS,Aspect Ratio16:9,(0),€94.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/ce43651c672fe4b7c1d370bc107a670d.256p.jpg
MSI MAG 272QP QD-OLED X50 (1),"Screen Size26.5""",Resolution2560 x 1440,Refresh Rate500 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(1),€899.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/f52bb79d2d10e7a57fd11becca100d63.256p.jpg
Asus TUF Gaming VG27AQM5A (0),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate300 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(0),Add,https://cdna.pcpartpicker.com/static/forever/images/product/ab898c73330c7ecf67b998a6eb41795b.256p.jpg
Asus ROG Strix OLED XG27UCDMG (2),"Screen Size26.5""",Resolution3840 x 2160,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio16:9,(2),€898.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/4dad63707d118cc5cfebd33cfb44639c.256p.jpg
Sceptre E255B-1658A (20),"Screen Size24.5""",Resolution1920 x 1080,Refresh Rate165 Hz,Response Time (G2G)1 ms,Panel TypeTN,Aspect Ratio16:9,(20),Add,https://m.media-amazon.com/images/I/51aRfAb0soL.jpg
MSI MPG 491CQPX QD-OLED (3),"Screen Size49.0""",Resolution5120 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeQD-OLED,Aspect Ratio32:9,(3),€1149.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/1ac1a75bbb8120ca63998053553b9126.256p.jpg
LG 27GS95QE-B (3),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate240 Hz,Response Time (G2G)0.03 ms,Panel TypeOLED,Aspect Ratio16:9,(3),€799.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/ee2ea1aebc88fbd523a614d32922440b.256p.jpg
RCA Evolution Premium (0),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate240 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(0),Add,https://m.media-amazon.com/images/I/41kyCu9sYTL.jpg
KTC H27E6 (0),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate320 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(0),€713.59Add,https://cdna.pcpartpicker.com/static/forever/images/product/37a54cc9e33048c441fb0c32aef9d750.256p.jpg
Sony INZONE M10S (1),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate480 Hz,Response Time (G2G)0.03 ms,Panel TypeOLED,Aspect Ratio16:9,(1),€1349.00Add,https://m.media-amazon.com/images/I/41w8KQ6ASlL.jpg
Asus TUF Gaming VG27AQML1A (7),"Screen Size27.0""",Resolution2560 x 1440,Refresh Rate260 Hz,Response Time (G2G)1 ms,Panel TypeIPS,Aspect Ratio16:9,(7),€289.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/82b337ff694d978593b0ef9ff3971654.256p.jpg
